filename,gt_offside,pred_offside,offside_correct,gt_manc_count,gt_manu_count,gt_gk_count,inferred_teamA_count,inferred_teamB_count,inferred_gk_count,manc_mapped_to,manu_mapped_to,teamA_count_match,teamB_count_match,attacking_team,error
NoOffside_mp4-0014_jpg.rf.Rx7QhAx4jDiERA8PX2fp.jpg,0,1,0,7,8,0,9,6,0,Team A,Team B,0,0,A,
NoOffside_mp4-0016_jpg.rf.Xa0ewKFafLW9AanFaxQZ.jpg,0,0,1,7,9,0,6,9,0,Team B,Team A,0,0,A,
NoOffside_mp4-0018_jpg.rf.rkgEGp8oU4OWDQdBUynf.jpg,0,0,1,7,9,0,6,10,0,Team B,Team A,0,0,A,
NoOffside_mp4-0019_jpg.rf.WBg23Q5mNLCiqDUpu55p.jpg,0,0,1,7,9,0,6,10,0,Team B,Team A,0,0,A,
NoOffside_mp4-0021_jpg.rf.mQLx7lnofL48eLw5EicJ.jpg,0,0,1,7,9,0,9,7,0,Team B,Team A,1,1,A,
NoOffside_mp4-0022_jpg.rf.qDq58u67n5I63S976BQL.jpg,0,0,1,6,10,0,9,7,0,Team B,Team A,0,0,A,
NoOffside_mp4-0024_jpg.rf.VBY4ACf63BV58HTce0Da.jpg,0,0,1,6,10,0,9,7,0,Team B,Team A,0,0,A,
NoOffside_mp4-0027_jpg.rf.doruVPDaNm0KB75GvXvM.jpg,0,1,0,7,8,0,9,7,0,Team B,Team A,0,1,A,
NoOffside_mp4-0029_jpg.rf.ZDd46FFgZMtuhnESyeSl.jpg,0,1,0,6,10,0,9,8,0,Team A,Team B,0,0,A,
NoOffside_mp4-0030_jpg.rf.10Zh7HUuxoDQ4KvLYTAC.jpg,0,1,0,7,9,0,9,7,0,Team B,Team A,1,1,A,
NoOffside_mp4-0032_jpg.rf.Frpd6PcOPFiJm4lNL7XQ.jpg,0,0,1,7,9,0,10,7,0,Team B,Team A,0,1,A,
NoOffside_mp4-0034_jpg.rf.95lNYvqQ1PwOce5Z56kN.jpg,0,0,1,7,9,0,10,7,0,Team A,Team B,0,0,A,
NoOffside_mp4-0036_jpg.rf.0QZWxrAKBCHp7ohueCMe.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0037_jpg.rf.GGAXkCwS4JS297QBDVTc.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0038_jpg.rf.gIGC13c7SnhLTCY7wHJ4.jpg,0,,,6,10,0,10,7,0,Team B,Team A,1,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0040_jpg.rf.o2G28nP7aWtqDBiqTQj5.jpg,0,,,8,9,0,10,7,0,Team B,Team A,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0042_jpg.rf.pY8ilb1XEBOf1tiuVlTH.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0045_jpg.rf.UDDQgjxZh7JdBaGdufAk.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0047_jpg.rf.uaoWQ6rldMKQl8b5CnmA.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0048_jpg.rf.1zQpecVPIoJTW0kdsmtB.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0049_jpg.rf.qFiIvPPu3dbmDNFuGvPz.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0050_jpg.rf.TFBIrSMZE1obBInUMg4m.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0052_jpg.rf.lNGnAsfDwLz8coyjFDGy.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0053_jpg.rf.Ok5DMxLrH2GALH1NY0Ql.jpg,0,0,1,7,9,0,10,7,0,Team A,Team B,0,0,A,
NoOffside_mp4-0054_jpg.rf.kwlZFTwgvMClLvOYVhms.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0055_jpg.rf.ECA7E1MfAuxD74OlVtwO.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0056_jpg.rf.9ePiFGBzAePfuKZL6GKB.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0058_jpg.rf.jOMgTuw7fLEDiuQEQLKi.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0060_jpg.rf.PRtjBb3k6zecNnHQclzZ.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
NoOffside_mp4-0061_jpg.rf.Vo5TLzRq9NaR4NCFdb7N.jpg,0,,,7,9,0,10,7,0,Team A,Team B,0,0,A,"Traceback (most recent call last): |   File ""C:\Users\neeld\offside\testrun.py"", line 182, in main |     offside_result        = run_pipeline(entry.path, inferred_dict, |                             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\testrun.py"", line 103, in run_pipeline |     return drawOffside(img_path, attacking_team, colors, homography, atk, def_) |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""C:\Users\neeld\offside\offside.py"", line 190, in drawOffside |     putPng(image, offside_tag, [mediax-65,attacker[i][1]-30]) | cv2.error: OpenCV(4.11.0) D:\a\opencv-python\opencv-python\opencv\modules\core\src\arithm.cpp:230: error: (-215:Assertion failed) (mtype == CV_8U || mtype == CV_8S) && _mask.sameSize(*psrc1) in function 'cv::binary_op' |  | "
